epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3996,3.19752,2.36266,1.38108,0.22789,0.18468,0.12143,0.03441,3.25284,2.40845,1.63783,0.0670582,0.000332745,0.000332745
2,93.8674,2.86013,2.02447,1.27492,0.54249,0.27701,0.29447,0.09407,2.74351,2.01012,1.39491,0.0340549,0.000662782,0.000662782
3,213.269,2.71605,1.89338,1.24412,0.51966,0.33694,0.32729,0.13334,2.36009,1.81101,1.23692,0.00104831,0.000989518,0.000989518
4,249.005,2.62688,1.80039,1.21506,0.68077,0.39784,0.43392,0.19784,2.19603,1.54778,1.18757,0.00098515,0.00098515,0.00098515
5,285.861,2.52517,1.73882,1.18849,0.66786,0.39489,0.41708,0.1614,2.32188,1.53818,1.22617,0.0009802,0.0009802,0.0009802
6,325.088,2.4689,1.69492,1.17215,0.72039,0.41061,0.45095,0.17954,2.3121,1.53929,1.20573,0.00097525,0.00097525,0.00097525
7,364.108,2.43636,1.67053,1.1684,0.67342,0.41119,0.44379,0.20122,2.08802,1.42746,1.14518,0.0009703,0.0009703,0.0009703
8,403.664,2.45453,1.66642,1.16668,0.75143,0.43059,0.47379,0.21804,2.06077,1.48553,1.14327,0.00096535,0.00096535,0.00096535
9,442.67,2.38297,1.59693,1.15158,0.77264,0.40963,0.46883,0.21482,2.04899,1.32616,1.12147,0.0009604,0.0009604,0.0009604
10,481.118,2.34289,1.55774,1.14075,0.76336,0.44106,0.48368,0.24615,1.96722,1.3295,1.11604,0.00095545,0.00095545,0.00095545
11,519.379,2.32486,1.56315,1.13444,0.79005,0.41402,0.47794,0.22167,2.05016,1.31607,1.14535,0.0009505,0.0009505,0.0009505
12,558.223,2.28938,1.53647,1.12954,0.79293,0.42883,0.49478,0.23099,2.00524,1.2829,1.13014,0.00094555,0.00094555,0.00094555
13,596.986,2.30074,1.55494,1.13176,0.73668,0.46464,0.50336,0.25466,1.8919,1.26366,1.10861,0.0009406,0.0009406,0.0009406
14,638.592,2.27885,1.53722,1.1271,0.78712,0.44008,0.50012,0.23988,1.94771,1.29829,1.08767,0.00093565,0.00093565,0.00093565
15,680.994,2.26495,1.52212,1.12508,0.81057,0.45874,0.51639,0.25757,1.91212,1.29415,1.09338,0.0009307,0.0009307,0.0009307
16,722.899,2.23862,1.4876,1.11578,0.79079,0.47642,0.52216,0.25994,1.87077,1.20065,1.09399,0.00092575,0.00092575,0.00092575
17,762.493,2.23622,1.50236,1.11818,0.82874,0.4666,0.52534,0.2612,1.90409,1.20681,1.11003,0.0009208,0.0009208,0.0009208
18,802.619,2.22436,1.47564,1.11588,0.84865,0.48428,0.55302,0.2806,1.79319,1.23128,1.07093,0.00091585,0.00091585,0.00091585
19,858.747,2.17151,1.43741,1.10549,0.88541,0.463,0.55217,0.29237,1.79664,1.21376,1.06364,0.0009109,0.0009109,0.0009109
20,898.256,2.18844,1.45637,1.10646,0.84077,0.45972,0.52861,0.26059,1.91465,1.18585,1.09502,0.00090595,0.00090595,0.00090595
21,938.22,2.18726,1.45309,1.10274,0.79841,0.50688,0.55984,0.29317,1.72008,1.19483,1.05437,0.000901,0.000901,0.000901
22,975.345,2.17342,1.44735,1.10079,0.89644,0.45915,0.54961,0.28004,1.74944,1.13131,1.06899,0.00089605,0.00089605,0.00089605
23,1013.89,2.16929,1.43946,1.09802,0.83467,0.48625,0.54668,0.27883,1.82704,1.23049,1.07667,0.0008911,0.0008911,0.0008911
24,1052.38,2.16559,1.42525,1.09428,0.86184,0.50248,0.57317,0.30875,1.68816,1.13531,1.03264,0.00088615,0.00088615,0.00088615
25,1089.06,2.141,1.41551,1.0942,0.86989,0.50098,0.57937,0.29731,1.7262,1.0581,1.0422,0.0008812,0.0008812,0.0008812
26,1125.87,2.1204,1.39798,1.09082,0.88648,0.48327,0.56377,0.30193,1.7227,1.08806,1.04924,0.00087625,0.00087625,0.00087625
27,1164.6,2.11822,1.39126,1.08869,0.86427,0.49412,0.55932,0.27925,1.78886,1.09464,1.06822,0.0008713,0.0008713,0.0008713
28,1202.35,2.1191,1.37407,1.08836,0.85359,0.48678,0.55882,0.30465,1.68437,1.06629,1.05272,0.00086635,0.00086635,0.00086635
29,1240.7,2.10405,1.37039,1.08132,0.85845,0.50196,0.56048,0.31395,1.64329,1.07353,1.03025,0.0008614,0.0008614,0.0008614
30,1279.14,2.0883,1.3599,1.08132,0.87055,0.51277,0.58732,0.31872,1.62151,1.05278,1.03585,0.00085645,0.00085645,0.00085645
31,1317.26,2.07898,1.35584,1.08078,0.84475,0.5275,0.58852,0.32678,1.63103,1.03067,1.02167,0.0008515,0.0008515,0.0008515
32,1355.57,2.08851,1.35868,1.08155,0.8807,0.51489,0.57498,0.3189,1.65658,1.06382,1.02744,0.00084655,0.00084655,0.00084655
33,1393.63,2.05726,1.34375,1.07376,0.89671,0.52022,0.58632,0.32859,1.58252,1.01188,1.01203,0.0008416,0.0008416,0.0008416
34,1431.07,2.06021,1.33978,1.07617,0.86228,0.52456,0.59357,0.32299,1.65352,1.02029,1.03162,0.00083665,0.00083665,0.00083665
35,1469.91,2.07112,1.34291,1.07657,0.867,0.51375,0.59298,0.32939,1.62326,1.00827,1.01754,0.0008317,0.0008317,0.0008317
36,1508.5,2.05522,1.33166,1.07633,0.87514,0.52358,0.6014,0.33078,1.62792,1.02847,1.02268,0.00082675,0.00082675,0.00082675
37,1547.26,2.00874,1.30192,1.06832,0.86262,0.52427,0.60498,0.33815,1.63353,0.98573,1.02283,0.0008218,0.0008218,0.0008218
38,1585.09,2.02026,1.31677,1.06815,0.89746,0.52445,0.61244,0.34792,1.55149,0.95015,1.00274,0.00081685,0.00081685,0.00081685
39,1621.74,2.06678,1.34114,1.07444,0.87859,0.52259,0.59452,0.35054,1.53887,0.98057,0.99988,0.0008119,0.0008119,0.0008119
40,1659.63,2.0058,1.31442,1.06416,0.87824,0.51721,0.5921,0.33337,1.55292,0.96405,1.01009,0.00080695,0.00080695,0.00080695
41,1698.66,2.01497,1.30514,1.06386,0.8749,0.52209,0.59639,0.35536,1.50015,0.95458,0.99209,0.000802,0.000802,0.000802
42,1736.33,2.01058,1.29518,1.06518,0.89331,0.54286,0.60285,0.34663,1.55223,0.95483,1.00293,0.00079705,0.00079705,0.00079705
43,1774.1,2.01483,1.30691,1.06185,0.8436,0.52986,0.60761,0.35759,1.50743,0.94715,0.99632,0.0007921,0.0007921,0.0007921
44,1810.28,1.9987,1.30496,1.06176,0.85055,0.54715,0.62056,0.35613,1.4888,0.92029,0.99599,0.00078715,0.00078715,0.00078715
45,1846.62,1.99243,1.29677,1.05918,0.91746,0.52554,0.61549,0.36477,1.44836,0.91489,0.98094,0.0007822,0.0007822,0.0007822
46,1882.9,2.00789,1.29831,1.05873,0.90239,0.53143,0.61227,0.36292,1.48096,0.8991,0.98978,0.00077725,0.00077725,0.00077725
47,1918,1.98511,1.28581,1.05435,0.86686,0.55206,0.62308,0.37847,1.4315,0.8975,0.97863,0.0007723,0.0007723,0.0007723
48,1952.97,2.00653,1.29741,1.05457,0.89933,0.5441,0.6213,0.38078,1.42493,0.87867,0.97032,0.00076735,0.00076735,0.00076735
49,1988.52,1.97652,1.27107,1.05145,0.89431,0.55599,0.62873,0.38904,1.37767,0.86657,0.96308,0.0007624,0.0007624,0.0007624
50,2024.73,1.93564,1.24705,1.05152,0.92342,0.54813,0.63141,0.37878,1.4306,0.85098,0.9716,0.00075745,0.00075745,0.00075745
51,2060.86,1.97444,1.26788,1.05301,0.87881,0.56287,0.63892,0.38705,1.40001,0.84977,0.96996,0.0007525,0.0007525,0.0007525
52,2097.88,1.94786,1.2647,1.04647,0.91143,0.56974,0.63827,0.39186,1.38626,0.84464,0.9679,0.00074755,0.00074755,0.00074755
53,2134.79,1.95244,1.25299,1.04722,0.91613,0.56189,0.63197,0.38477,1.41051,0.86125,0.97544,0.0007426,0.0007426,0.0007426
54,2171.02,1.94056,1.25507,1.04606,0.93428,0.55894,0.63824,0.39036,1.42612,0.84438,0.97149,0.00073765,0.00073765,0.00073765
55,2206.89,1.94367,1.25135,1.04739,0.89493,0.56895,0.63769,0.3868,1.4542,0.83129,0.97446,0.0007327,0.0007327,0.0007327
56,2243.6,1.92572,1.24386,1.04311,0.92013,0.56584,0.6457,0.38796,1.43659,0.82875,0.97428,0.00072775,0.00072775,0.00072775
57,2280.35,1.92778,1.26035,1.04687,0.92285,0.57564,0.65341,0.38909,1.41153,0.83116,0.97066,0.0007228,0.0007228,0.0007228
58,2317.17,1.94375,1.25242,1.04185,0.90744,0.58153,0.6502,0.39573,1.38072,0.81243,0.96659,0.00071785,0.00071785,0.00071785
59,2353.66,1.92224,1.23544,1.03932,0.91908,0.56876,0.64665,0.39306,1.35686,0.81229,0.96157,0.0007129,0.0007129,0.0007129
60,2389.26,1.92079,1.24595,1.04124,0.8977,0.57753,0.64719,0.38851,1.38458,0.82008,0.9623,0.00070795,0.00070795,0.00070795
61,2425.66,1.91712,1.23008,1.04601,0.87213,0.59332,0.6555,0.39814,1.35857,0.8085,0.9577,0.000703,0.000703,0.000703
62,2462.31,1.92312,1.24546,1.03981,0.89248,0.5789,0.65128,0.40107,1.34839,0.78684,0.95818,0.00069805,0.00069805,0.00069805
63,2499.35,1.90929,1.2199,1.03503,0.90154,0.57367,0.65046,0.40261,1.3276,0.7888,0.95586,0.0006931,0.0006931,0.0006931
64,2535.96,1.9063,1.2405,1.03926,0.89565,0.58251,0.65106,0.40529,1.34552,0.79932,0.95901,0.00068815,0.00068815,0.00068815
65,2572.51,1.87646,1.19784,1.03298,0.9098,0.58457,0.66254,0.41125,1.30978,0.77739,0.95144,0.0006832,0.0006832,0.0006832
66,2608.21,1.91437,1.24415,1.04125,0.86546,0.59397,0.65838,0.41653,1.28782,0.77735,0.94424,0.00067825,0.00067825,0.00067825
67,2643.53,1.87925,1.21511,1.03525,0.93143,0.57662,0.6609,0.41831,1.29137,0.76943,0.95022,0.0006733,0.0006733,0.0006733
68,2678.39,1.87328,1.20122,1.03431,0.93974,0.5821,0.66295,0.41837,1.28981,0.75774,0.94768,0.00066835,0.00066835,0.00066835
69,2714.48,1.87922,1.19815,1.03266,0.95041,0.58366,0.66292,0.41911,1.27137,0.7438,0.94463,0.0006634,0.0006634,0.0006634
70,2751.62,1.88083,1.18753,1.02791,0.93503,0.59725,0.66697,0.42095,1.25268,0.73434,0.94291,0.00065845,0.00065845,0.00065845
71,2790.3,1.88833,1.1994,1.03273,0.93612,0.60314,0.67164,0.42446,1.25159,0.72984,0.9442,0.0006535,0.0006535,0.0006535
72,2828.48,1.86461,1.18943,1.02945,0.94748,0.59921,0.67124,0.42363,1.28214,0.73127,0.94829,0.00064855,0.00064855,0.00064855
73,2865.24,1.86749,1.19744,1.02911,0.92826,0.6002,0.67276,0.41918,1.29729,0.72816,0.9514,0.0006436,0.0006436,0.0006436
74,2900,1.87096,1.19071,1.03302,0.93808,0.59531,0.67131,0.41605,1.30911,0.73168,0.95066,0.00063865,0.00063865,0.00063865
75,2935.33,1.8527,1.17675,1.02604,0.93577,0.60314,0.67482,0.4248,1.29504,0.72415,0.94859,0.0006337,0.0006337,0.0006337
76,2971.84,1.81744,1.17331,1.02293,0.94593,0.60149,0.67323,0.42938,1.27552,0.72397,0.94317,0.00062875,0.00062875,0.00062875
77,3007.92,1.84699,1.17129,1.02242,0.95923,0.60413,0.67503,0.42729,1.2744,0.71372,0.94219,0.0006238,0.0006238,0.0006238
78,3044.43,1.83453,1.16984,1.01944,0.95595,0.60413,0.67518,0.42775,1.28819,0.70791,0.94373,0.00061885,0.00061885,0.00061885
79,3080.61,1.82765,1.16449,1.02269,0.94119,0.60609,0.67721,0.42981,1.26983,0.7046,0.93995,0.0006139,0.0006139,0.0006139
80,3115.27,1.85742,1.18536,1.02495,0.9557,0.60413,0.6781,0.43481,1.24304,0.69759,0.93582,0.00060895,0.00060895,0.00060895
81,3150.32,1.84308,1.17825,1.0211,0.95317,0.60118,0.67707,0.43616,1.22805,0.69518,0.93369,0.000604,0.000604,0.000604
82,3185.67,1.83272,1.1658,1.01601,0.95831,0.60216,0.67526,0.43626,1.22668,0.69092,0.93415,0.00059905,0.00059905,0.00059905
83,3222.13,1.82861,1.15727,1.01906,0.93414,0.61302,0.68062,0.4411,1.21608,0.68768,0.93175,0.0005941,0.0005941,0.0005941
84,3258.5,1.80939,1.16096,1.01516,0.94346,0.60806,0.68089,0.44481,1.21188,0.68491,0.93051,0.00058915,0.00058915,0.00058915
85,3294.51,1.83389,1.15737,1.01552,0.95356,0.60904,0.68103,0.44679,1.2057,0.68362,0.92879,0.0005842,0.0005842,0.0005842
86,3330.11,1.82499,1.16171,1.01402,0.94481,0.61198,0.68265,0.4482,1.20122,0.6837,0.92817,0.00057925,0.00057925,0.00057925
87,3365.16,1.82087,1.16831,1.0168,0.93508,0.61591,0.68239,0.44873,1.19618,0.68375,0.92707,0.0005743,0.0005743,0.0005743
88,3400.04,1.82091,1.1594,1.01678,0.93519,0.61788,0.68231,0.4485,1.19308,0.68793,0.92588,0.00056935,0.00056935,0.00056935
89,3436.03,1.80513,1.14071,1.01291,0.93046,0.61788,0.68038,0.45147,1.19118,0.68863,0.92503,0.0005644,0.0005644,0.0005644
90,3472.4,1.8044,1.14694,1.01497,0.93727,0.61648,0.67992,0.45112,1.19102,0.68852,0.92526,0.00055945,0.00055945,0.00055945
91,3508.21,1.79385,1.15054,1.01052,0.93998,0.62181,0.6829,0.45153,1.1877,0.68086,0.92481,0.0005545,0.0005545,0.0005545
92,3544.43,1.76895,1.12172,1.01409,0.92881,0.62475,0.68505,0.45286,1.18915,0.67303,0.92544,0.00054955,0.00054955,0.00054955
93,3579.83,1.79991,1.13205,1.01309,0.92593,0.62574,0.68755,0.4516,1.19459,0.66986,0.92615,0.0005446,0.0005446,0.0005446
94,3614.55,1.78865,1.13091,1.00815,0.92355,0.62475,0.68847,0.45409,1.19015,0.66629,0.92608,0.00053965,0.00053965,0.00053965
95,3649.25,1.76395,1.1235,1.00502,0.93456,0.62279,0.68721,0.4558,1.1811,0.66183,0.92543,0.0005347,0.0005347,0.0005347
96,3685.45,1.77774,1.11727,1.00957,0.93197,0.62475,0.68776,0.45652,1.18077,0.6611,0.92542,0.00052975,0.00052975,0.00052975
97,3721.99,1.78648,1.1341,1.01053,0.92701,0.62377,0.68572,0.45754,1.18118,0.6592,0.92564,0.0005248,0.0005248,0.0005248
98,3758.42,1.72479,1.08627,1.0011,0.93737,0.62279,0.68653,0.45954,1.17792,0.65943,0.92508,0.00051985,0.00051985,0.00051985
99,3794.64,1.77289,1.1301,1.01334,0.9431,0.61872,0.68838,0.46219,1.16893,0.65725,0.92367,0.0005149,0.0005149,0.0005149
100,3829.51,1.77048,1.12188,1.00476,0.94578,0.6168,0.68835,0.46351,1.1653,0.65493,0.92258,0.00050995,0.00050995,0.00050995
101,3864.6,1.74837,1.1076,0.99981,0.93414,0.62279,0.68882,0.46666,1.15768,0.6536,0.92129,0.000505,0.000505,0.000505
102,3900.55,1.74831,1.10106,1.00241,0.92692,0.623,0.68927,0.46613,1.15758,0.65143,0.92088,0.00050005,0.00050005,0.00050005
103,3937.01,1.73536,1.09204,0.99924,0.92951,0.62377,0.68984,0.46749,1.15678,0.65088,0.92021,0.0004951,0.0004951,0.0004951
104,3973.39,1.72822,1.08348,0.99715,0.94411,0.61401,0.68928,0.46846,1.15613,0.64806,0.91969,0.00049015,0.00049015,0.00049015
105,4009.57,1.7353,1.11163,0.99764,0.94577,0.61297,0.68891,0.46856,1.15012,0.64515,0.91858,0.0004852,0.0004852,0.0004852
106,4045.44,1.73221,1.09463,1.00128,0.95401,0.61297,0.68921,0.46936,1.14404,0.64313,0.91721,0.00048025,0.00048025,0.00048025
107,4080.29,1.73821,1.10047,0.99856,0.95451,0.61297,0.6895,0.47022,1.13784,0.64212,0.91636,0.0004753,0.0004753,0.0004753
